Weight (kg),Height (m),Animal
.70,0.09,mouse
4939.08,2.72,elephant
5072.51,2.80,elephant
0.13,0.09,mouse
0.33,0.18,mouse
4799.52,2.93,elephant
0.29,0.19,mouse
0.77,0.19,mouse
5367.24,3.36,elephant
0.07,0.20,mouse
0.05,0.08,mouse
0.28,0.10,mouse
6475.12,3.25,elephant
0.16,0.12,mouse
0.38,0.12,mouse
0.78,0.09,mouse
0.18,0.18,mouse
4016.07,3.68,elephant
5187.73,3.71,elephant
4471.26,2.91,elephant
0.72,0.09,mouse
4521.84,2.85,elephant
5158.39,3.55,elephant
6714.12,3.03,elephant
0.55,0.15,mouse
5969.03,3.87,elephant
0.48,0.19,mouse
0.62,0.07,mouse
0.34,0.14,mouse
0.67,0.13,mouse
6386.64,2.52,elephant
5325.81,3.36,elephant
4550.72,3.34,elephant
6636.04,2.81,elephant
0.28,0.13,mouse
0.16,0.15,mouse
6307.98,3.34,elephant
0.54,0.20,mouse
5265.50,3.15,elephant
5971.67,3.36,elephant
5768.59,3.04,elephant
5163.75,3.81,elephant
0.64,0.15,mouse
0.51,0.07,mouse
5518.38,3.24,elephant
5140.50,3.56,elephant
6650.62,3.80,elephant
5585.51,3.87,elephant
0.06,0.17,mouse
5798.22,3.93,elephant
5901.74,2.71,elephant
6637.34,2.90,elephant
5547.40,3.44,elephant
0.21,0.08,mouse
4485.26,3.34,elephant
5310.55,3.68,elephant
4004.04,3.64,elephant
0.30,0.18,mouse
6483.05,3.24,elephant
0.71,0.18,mouse
4675.13,3.08,elephant
6925.14,3.47,elephant
4436.99,3.33,elephant
0.35,0.20,mouse
0.75,0.12,mouse
0.24,0.15,mouse
6902.14,3.46,elephant
0.33,0.18,mouse
5192.96,3.44,elephant
4226.96,3.43,elephant
0.62,0.10,mouse
5010.20,3.89,elephant
5132.54,2.68,elephant
0.68,0.08,mouse
0.59,0.12,mouse
0.06,0.07,mouse
6618.76,2.85,elephant
0.29,0.20,mouse
0.24,0.08,mouse
0.70,0.08,mouse
0.16,0.08,mouse
6685.07,2.67,elephant
5034.41,2.61,elephant
4043.03,3.58,elephant
0.09,0.17,mouse
0.68,0.08,mouse
0.48,0.19,mouse
5883.81,2.53,elephant
5920.14,3.45,elephant
0.34,0.19,mouse
6078.19,2.71,elephant
0.76,0.20,mouse
5709.98,2.75,elephant
4955.71,2.86,elephant
5395.55,3.13,elephant
0.49,0.18,mouse
0.70,0.12,mouse
0.78,0.11,mouse
0.36,0.19,mouse
0.57,0.14,mouse
4591.48,3.53,elephant
0.10,0.14,mouse
6182.19,2.50,elephant
4152.05,2.96,elephant
6225.13,3.81,elephant
0.48,0.18,mouse
0.20,0.09,mouse
6615.93,3.54,elephant
0.22,0.13,mouse
0.45,0.08,mouse
5348.00,3.80,elephant
4323.44,3.88,elephant
6832.37,3.82,elephant
4833.60,2.90,elephant
5095.62,3.89,elephant
0.06,0.20,mouse
0.14,0.18,mouse
6857.42,3.52,elephant
0.07,0.17,mouse
6998.76,2.53,elephant
6326.31,3.97,elephant
0.67,0.14,mouse
4540.17,3.14,elephant
6221.06,3.67,elephant
0.07,0.08,mouse
0.42,0.20,mouse
4780.60,2.82,elephant
6282.70,3.63,elephant
6675.56,3.03,elephant
5458.11,3.94,elephant
0.58,0.10,mouse
0.12,0.14,mouse
5638.50,3.75,elephant
0.35,0.12,mouse
6712.96,3.59,elephant
0.68,0.11,mouse
0.33,0.20,mouse
0.18,0.15,mouse
5469.90,2.59,elephant
4256.83,3.40,elephant
0.47,0.17,mouse
5291.77,3.91,elephant
4648.66,3.80,elephant
6452.24,3.00,elephant
0.65,0.14,mouse
6401.94,3.12,elephant
0.46,0.12,mouse
4266.91,3.67,elephant
0.41,0.13,mouse
6986.48,3.56,elephant
5281.44,3.11,elephant
6862.41,3.37,elephant
0.47,0.13,mouse
6175.57,3.14,elephant
0.65,0.10,mouse
0.19,0.18,mouse
0.28,0.09,mouse
0.11,0.14,mouse
0.37,0.20,mouse
0.13,0.16,mouse
0.13,0.16,mouse
4738.65,3.66,elephant
0.15,0.11,mouse
5842.00,2.74,elephant
5733.73,2.76,elephant
0.35,0.15,mouse
0.22,0.10,mouse
6649.95,2.99,elephant
0.34,0.15,mouse
0.06,0.17,mouse
5767.73,2.78,elephant
0.19,0.16,mouse
0.32,0.07,mouse
0.57,0.17,mouse
0.06,0.19,mouse
4696.29,3.59,elephant
4471.65,2.66,elephant
5895.83,3.33,elephant
0.59,0.15,mouse
4898.54,2.97,elephant
0.43,0.08,mouse
4165.69,2.61,elephant
0.36,0.15,mouse
0.67,0.18,mouse
6042.31,2.82,elephant
0.53,0.12,mouse
5452.18,3.60,elephant
4263.69,3.43,elephant
5432.36,2.84,elephant
0.59,0.17,mouse
6516.57,3.57,elephant
5571.89,3.87,elephant
0.79,0.13,mouse
4753.98,3.04,elephant
0.25,0.10,mouse
4184.39,3.84,elephant
0.16,0.19,mouse
4883.77,3.92,elephant
0.74,0.15,mouse
4383.95,3.16,elephant
5856.38,2.79,elephant
0.47,0.10,mouse
5716.31,3.03,elephant
5348.41,2.88,elephant
4783.88,3.70,elephant
0.08,0.14,mouse
0.21,0.12,mouse
4007.84,2.78,elephant
0.55,0.17,mouse
0.27,0.15,mouse
0.72,0.16,mouse
6441.65,2.95,elephant
0.14,0.14,mouse
6253.52,3.66,elephant
5469.38,2.97,elephant
0.59,0.16,mouse
